"Timestamp","Age","Gender","What kind of Locality do you live in?","Education level - Either Studying or Completed","Family Income per year(in Rupees)","How likely are you to use home remedies for the following health issue/ symptom :  [Sore throat / Cough]","How likely are you to use home remedies for the following health issue/ symptom :  [Running Nose]","How likely are you to use home remedies for the following health issue/ symptom :  [Diarrhoea]","How likely are you to use home remedies for the following health issue/ symptom :  [Back/Joint pain]","How likely are you to use home remedies for the following health issue/ symptom :  [Constipation]","How likely are you to use home remedies for the following health issue/ symptom :  [Headache]","How likely are you to use home remedies for the following health issue/ symptom :  [Wounds / minor cuts and bruises]","How likely are you to use home remedies for the following health issue/ symptom :  [Sleeping problems / nervousness]","Have you ever used any of the following home remedies?","Do you prefer using Home remedies?"
"2020/10/19 10:03:48 PM GMT+5:30","21","Female","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Most of the time","Once in a while","Once in a while","Most of the time","Never","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","No"
"2020/10/19 10:03:55 PM GMT+5:30","23","Male","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:04:06 PM GMT+5:30","21","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Most of the time","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:04:37 PM GMT+5:30","55","Male","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:04:55 PM GMT+5:30","19","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Once in a while","Never","Never","Once in a while","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:05:06 PM GMT+5:30","52","Male","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:05:09 PM GMT+5:30","20","Female","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Most of the time","Always","Most of the time","Always","Once in a while","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 10:05:37 PM GMT+5:30","18","Female","Urban","Graduate","Above 25 lakh","Always","Always","Once in a while","Most of the time","Once in a while","Most of the time","Never","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:05:49 PM GMT+5:30","20","Male","Urban","Graduate","Prefer not to say","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Never","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:05:56 PM GMT+5:30","18","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:06:17 PM GMT+5:30","17","Female","Urban","Graduate","Above 25 lakh","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:06:23 PM GMT+5:30","22","Male","Urban","Post Graduate","Prefer not to say","Once in a while","Once in a while","Never","Never","Once in a while","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:06:26 PM GMT+5:30","19","Male","Urban","Graduate","Above 25 lakh","Once in a while","Once in a while","Never","Once in a while","Never","Never","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:06:44 PM GMT+5:30","22","Female","Urban","Post Graduate","1 lakh to 25 lakh","Always","Most of the time","Most of the time","Most of the time","Always","Always","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:07:48 PM GMT+5:30",".","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:07:51 PM GMT+5:30","16+","Male","Urban","High School","Prefer not to say","Always","Always","Never","Never","Never","Always","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:07:56 PM GMT+5:30","21","Male","Urban","High School","1 lakh to 25 lakh","Always","Always","Once in a while","Always","Once in a while","Most of the time","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:08:25 PM GMT+5:30","22","Male","Urban","Post Graduate","Prefer not to say","Once in a while","Once in a while","Once in a while","Never","Once in a while","Once in a while","Never","Never","Drink Haldi/Turmeric milk","Yes"
"2020/10/19 10:08:40 PM GMT+5:30","19","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Never","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","No"
"2020/10/19 10:09:47 PM GMT+5:30","19","Male","Rural","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Never","Never","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:10:01 PM GMT+5:30","20","Male","Urban","High School","1 lakh to 25 lakh","Always","Always","Most of the time","Most of the time","Most of the time","Always","Always","Always","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation","Yes"
"2020/10/19 10:10:25 PM GMT+5:30","20","Female","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Never","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:11:30 PM GMT+5:30","19","Male","Urban","Graduate","Prefer not to say","Never","Most of the time","Always","Once in a while","Always","Most of the time","Most of the time","Never","Drink Haldi/Turmeric milk;Using Hot water steam","Yes"
"2020/10/19 10:12:16 PM GMT+5:30","43","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:12:19 PM GMT+5:30","21","Female","Urban","Graduate","Prefer not to say","Most of the time","Once in a while","Never","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:12:48 PM GMT+5:30","19","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Never","Never","Most of the time","Never","Never","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:13:03 PM GMT+5:30","20","Female","Urban","Graduate","Above 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Once in a while","Always","Once in a while","Never","Using Hot water steam","Yes"
"2020/10/19 10:13:43 PM GMT+5:30","33","Male","Urban","Post Graduate","Prefer not to say","Once in a while","Most of the time","Never","Most of the time","Never","Never","Once in a while","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:14:01 PM GMT+5:30","25","Male","Urban","Graduate","1 lakh to 25 lakh","Never","Never","Once in a while","Once in a while","Once in a while","Most of the time","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam","Yes"
"2020/10/19 10:14:18 PM GMT+5:30","71+","Female","Urban","Basic schooling","Prefer not to say","Always","Always","Once in a while","Never","Most of the time","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:14:21 PM GMT+5:30","20","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Once in a while","Never","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:14:40 PM GMT+5:30","17","Female","Urban","High School","Prefer not to say","Most of the time","Once in a while","Never","Once in a while","Never","Never","Once in a while","Never","Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:15:03 PM GMT+5:30","27","Male","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Most of the time","Most of the time","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:15:07 PM GMT+5:30","68","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Always","Never","Once in a while","Always","Always","Most of the time","Always","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:15:09 PM GMT+5:30","27","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Never","Never","Never","Once in a while","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 10:15:47 PM GMT+5:30","18","Female","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Once in a while","Never","Never","Most of the time","Most of the time","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:16:06 PM GMT+5:30","22","Female","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Always","Always","Always","Always","Most of the time","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:16:11 PM GMT+5:30","41","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:16:57 PM GMT+5:30","20","Male","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Once in a while","Once in a while","Never","Once in a while","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:17:11 PM GMT+5:30","71","Female","Urban","High School","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:18:36 PM GMT+5:30","26","Female","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Never","Always","Always","Never","Always","Always","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:19:06 PM GMT+5:30","22","Female","Urban","Post Graduate","1 lakh to 25 lakh","Always","Most of the time","Never","Once in a while","Once in a while","Always","Always","Always","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:19:57 PM GMT+5:30","22","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:20:21 PM GMT+5:30","17","Female","Urban","High School","Prefer not to say","Once in a while","Once in a while","Always","Never","Always","Once in a while","Always","Once in a while","Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:20:46 PM GMT+5:30","18","Male","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Most of the time","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:20:58 PM GMT+5:30","43","Female","Urban","Post Graduate","Prefer not to say","Always","Always","Most of the time","Once in a while","Once in a while","Once in a while","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:22:07 PM GMT+5:30","21","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Never","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:22:46 PM GMT+5:30","21","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Always","Always","Always","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:22:59 PM GMT+5:30","20","Female","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Once in a while","Once in a while","Once in a while","Never","Never","Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 10:23:07 PM GMT+5:30","44","Male","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Once in a while","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:23:43 PM GMT+5:30","70","Male","Urban","High School","Prefer not to say","Always","Never","Always","Always","Always","Always","Always","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:24:23 PM GMT+5:30","33","Female","Rural","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Once in a while","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:24:35 PM GMT+5:30","19","Female","Urban","High School","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Once in a while","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation","Yes"
"2020/10/19 10:24:51 PM GMT+5:30","21","Male","Urban","Graduate","Above 25 lakh","Once in a while","Never","Never","Never","Never","Never","Never","Never","Kadha / Herbal Teas;Using Hot water steam","No"
"2020/10/19 10:25:12 PM GMT+5:30","40","Female","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Once in a while","Never","Never","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple","Yes"
"2020/10/19 10:25:28 PM GMT+5:30","21","Female","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:25:29 PM GMT+5:30","37","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:25:38 PM GMT+5:30","59","Female","Urban","Basic schooling","Prefer not to say","Always","Always","Always","Always","Always","Always","Always","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:26:17 PM GMT+5:30","46","Male","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Never","Never","Once in a while","Once in a while","Never","Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:26:24 PM GMT+5:30","36","Male","Urban","Post Graduate","Prefer not to say","Never","Never","Never","Never","Never","Once in a while","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:26:59 PM GMT+5:30","43","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:27:37 PM GMT+5:30","45","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:27:51 PM GMT+5:30","20","Female","Urban","Graduate","Prefer not to say","Always","Always","Once in a while","Once in a while","Once in a while","Never","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:28:39 PM GMT+5:30","18","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Never","Most of the time","Never","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
